Date,Failure Rate,Temp,Rain
1/3/2016,0.016666666666667,22.22428571,3.95
1/10/2016,0.283333333333333,21.48,1.128571429
1/17/2016,0.15,20.70857143,0.457142857
1/24/2016,0.133333333333333,20.58142857,0
1/31/2016,0.133333333333333,21.03428571,0.6
2/7/2016,0.4,19.75,0
2/14/2016,0.35,19.88142857,0
2/21/2016,0.283333333333333,20.20285714,0.771428571
2/28/2016,0.183333333333333,22.47428571,1.928571429
3/6/2016,0.283333333333333,24.21285714,0.357142857
3/13/2016,0.55,23.94,4.828571429
3/20/2016,0.35,23.98142857,0.428571429
3/27/2016,0.333333333333333,24.51285714,1.514285714
4/3/2016,0.15,25.88285714,1.342857143
4/10/2016,0.183333333333333,25.25857143,0.057142857
4/17/2016,0.266666666666667,27.24571429,0.057142857
4/24/2016,0.283333333333333,27.04,0.271428571
5/1/2016,0.3,28.27857143,0.271428571
5/8/2016,0.316666666666667,31.18428571,0
5/15/2016,0.383333333333333,33.26857143,0
5/22/2016,0.35,33.87,0
5/29/2016,0.266666666666667,32.68714286,0
6/5/2016,0.233333333333333,32.30571429,0
6/12/2016,0.183333333333333,33.43857143,0
6/19/2016,0.266666666666667,33.79428571,0
6/26/2016,0.233333333333333,34.89285714,0
7/3/2016,0.5,36.54857143,0
7/10/2016,0.65,36.21,0
7/17/2016,0.416666666666667,36.00857143,0
7/24/2016,1,38.27571429,0
7/31/2016,0.25,37.57,0.028571429
8/7/2016,0.25,37.24571429,0.542857143
8/14/2016,0.333333333333333,39.29285714,0
8/21/2016,0.2,38.13857143,0
8/28/2016,0.283333333333333,37.30142857,0
9/4/2016,0.15,36.87285714,0
9/11/2016,0.333333333333333,36.25714286,0
9/18/2016,0.366666666666667,34.92142857,0
9/25/2016,0.25,34,0
10/2/2016,0.216666666666667,33.30714286,0
10/9/2016,0.183333333333333,32.45428571,0.171428571
10/16/2016,0.266666666666667,31.80857143,0
10/23/2016,0.066666666666667,31.12,0
10/30/2016,0.266666666666667,30.62,0
11/6/2016,0.2,29.94,0
11/13/2016,0.166666666666667,28.74142857,0
11/20/2016,0.166666666666667,27.42285714,0
11/27/2016,0.283333333333333,26.32571429,0.171428571
12/4/2016,0.216666666666667,25.45285714,0
12/11/2016,0.1,25.49714286,0.057142857
12/18/2016,0.233333333333333,23.57571429,0.057142857
12/25/2016,0.2,22.60857143,0
1/1/2017,0.116666666666667,23.44428571,0
1/8/2017,0.183333333333333,22.83,0
1/15/2017,0.083333333333333,22.08,0
1/22/2017,0.116666666666667,21.63428571,0.6
1/29/2017,0.166666666666667,22.24142857,1.285714286
2/5/2017,0.15,21.39,0.628571429
2/12/2017,0.15,19.71,0.514285714
2/19/2017,0.133333333333333,22.32714286,2.171428571
2/26/2017,0.15,21.62857143,1.028571429
3/5/2017,0.183333333333333,21.65142857,0.7
3/12/2017,0.116666666666667,23.34,1.185714286
3/19/2017,0.116666666666667,25.52142857,0.642857143
3/26/2017,0.15,26.02,7.071428571
4/2/2017,0.166666666666667,24.97,0.685714286
4/9/2017,0.216666666666667,27.93714286,0
4/16/2017,0.033333333333333,30.12714286,0
4/23/2017,0.133333333333333,30.86714286,0
4/30/2017,0.233333333333333,29.93857143,0
5/7/2017,0.233333333333333,32.76,0
5/14/2017,0.333333333333333,34.10571429,0
5/21/2017,0.083333333333333,32.73857143,0
5/28/2017,0.4,32.62571429,0
6/4/2017,0.4,33.22142857,0
6/11/2017,0.383333333333333,34.51,0
6/18/2017,0.566666666666667,35.95571429,0
6/25/2017,0.333333333333333,36.05428571,0
7/2/2017,0.483333333333333,35.86714286,0
7/9/2017,0.3,36.57285714,0
7/16/2017,0.416666666666667,38.05285714,0
7/23/2017,0.5,39.02857143,0
7/30/2017,0.4,38.96142857,0
8/6/2017,0.3,38.45714286,0
